applicationId	createdOn	lastUpdatedOn	carRego	carColor
91	1/23/2019	8/25/2018	1G4GD5GR6CF060544	Lotstring
47	4/17/2019	7/21/2019	JHMZF1C6XDS886557	Latlux
22	4/5/19	9/2/18	WAU2GAFC8DN187442	Subin
32	12/17/2018	11/17/2018	3N1AB7AP3FL500705	Flowdesk
14	8/21/2018	11/10/18	SCFEBBCF1CG217713	Home Ing
49	8/22/2018	5/11/19	3C4PDDDG1ET819255	Solarbreeze
16	3/3/19	11/10/18	JN1AJ0HP0BM204833	Flexidy
93	4/5/19	1/31/2019	1FTSW3B50AE515292	Zaam-Dox
26	9/2/18	6/2/19	WAUXD68D72A264324	Treeflex
20	7/24/2019	1/10/19	5TDBW5G19DS714845	Veribet
68	3/17/2019	6/26/2019	JM1NC2JFXC0167532	Kanlam
86	5/15/2019	2/8/19	JH4CU4F63DC669449	Lotstring
78	8/31/2018	8/13/2019	5FRYD4H44GB247442	Sub-Ex
33	5/21/2019	9/6/18	WA1WMAFE7CD566008	Holdlamis
74	9/24/2018	5/23/2019	5UXZW0C53D0317532	Viva
95	10/7/18	6/20/2019	5FRYD3H60GB007252	It
79	5/19/2019	11/14/2018	WAUVT58E53A698241	Ronstring
79	3/18/2019	8/24/2018	JHMGE8G38CS957837	Biodex
14	1/15/2019	3/4/19	2B3CK4CV2AH942894	Span
58	10/14/2018	10/27/2018	JH4KA96624C935755	Konklab
68	7/21/2019	12/27/2018	WP0CB2A81CS030544	Pannier
69	6/10/19	3/22/2019	1G6DP1ED2B0384366	Overhold
79	9/29/2018	4/22/2019	5TDBKRFH1FS246131	Solarbreeze
57	4/6/19	9/6/18	WAUNF98P86A372258	Bitchip
56	9/28/2018	3/6/19	WBA3D3C58EK355033	Konklab
60	3/1/19	1/14/2019	2B3CK5CT1AH482504	Fix San
48	7/26/2019	12/3/18	1G4HP57M69U821299	Fintone
70	3/3/19	7/20/2019	WBAVD13596K810972	Ronstring
47	4/4/19	12/1/18	WBXPA73455W149997	Keylex
2	5/21/2019	9/6/18	KNAFU5A26B5740165	Kanlam
41	8/25/2018	11/22/2018	JN1AZ4EH0AM070451	Stringtough
59	7/1/19	5/28/2019	JTDKTUD32ED959038	Aerified
71	4/9/19	9/7/18	WAUWFAFL8BA012794	Keylex
90	4/20/2019	7/8/19	WAUHFAFLXDA304782	Toughjoyfax
40	3/23/2019	1/29/2019	1G6DH8E50D0782905	Toughjoyfax
39	4/19/2019	9/19/2018	2V4RW3D15AR664589	Zathin
52	3/23/2019	3/30/2019	WAUBC48H05K183684	Alpha
77	1/17/2019	3/11/19	2G4WS52J731775486	Stim
83	11/12/18	1/29/2019	JN8AZ2KR5AT790322	Trippledex
9	4/5/19	9/11/18	WA1AY94L77D690090	Tampflex
95	9/6/18	2/1/19	WBAKB0C58BC705587	Namfix
57	10/9/18	1/8/19	1G6DA8EG1A0156815	Voyatouch
98	3/17/2019	6/7/19	1HGCP2E33BA785006	It
47	6/22/2019	7/12/19	W06VR54RX1R415701	Keylex
36	6/9/19	1/7/19	1D7RV1GP1AS957623	Tres-Zap
25	7/25/2019	11/1/18	1FBNE3BL6ED413798	Namfix
89	5/14/2019	10/27/2018	ML32A3HJXFH771261	Bitchip
3	1/6/19	10/11/18	JTHBK1EG1A2808327	Kanlam
84	11/18/2018	7/8/19	SCBBR9ZA3CC880115	Prodder
92	2/17/2019	9/10/18	JN8AF5MRXDT793485	Keylex
42	5/28/2019	9/28/2018	ZHWGU5AU6CL046184	Ronstring
76	2/1/19	9/21/2018	JA4AP3AU9BZ767504	Bitwolf
65	9/7/18	1/27/2019	WAUGL98E36A005140	Trippledex
89	3/13/2019	6/14/2019	KMHGN4JE9FU384276	Domainer
10	5/4/19	3/6/19	JN8AZ1MU8AW438958	Kanlam
34	5/25/2019	5/1/19	1FTWX3B54AE396662	Alphazap
99	11/24/2018	3/7/19	1G6AA5RX0D0948440	Job
96	3/27/2019	10/8/18	ZFBCFABH2EZ675052	Ronstring
82	2/1/19	8/3/19	1G6AL5S30E0617716	Mat Lam Tam
26	1/16/2019	10/5/18	5N1AN0NW4FN773189	Viva
54	8/12/19	6/14/2019	1FMCU9C74AK418090	Toughjoyfax
97	3/25/2019	2/7/19	5XYKT3A12BG260535	Kanlam
5	3/28/2019	2/18/2019	2G4WF521031827903	Asoka
90	1/25/2019	1/11/19	JTDKTUD35ED336268	Span
1	5/10/19	10/2/18	1G4GF5G34FF422543	Sonsing
7	8/6/19	5/7/19	WAUFFAFM1CA494101	Domainer
68	8/29/2018	6/14/2019	5NPDH4AE0DH345033	Bitchip
72	3/9/19	8/21/2018	3D7TP2CT1BG288612	Rank
87	3/4/19	12/7/18	WAUDH74F47N287399	Konklux
68	12/24/2018	9/11/18	KMHEC4A43EA566317	Sonsing
31	3/23/2019	2/6/19	WBASP2C52CC763046	Voltsillam
34	9/28/2018	12/29/2018	1GKUCKE08AR454155	Home Ing
25	12/12/18	5/29/2019	WBABS334X3J074170	Toughjoyfax
24	8/30/2018	3/6/19	JTDJTUD35ED149320	Matsoft
78	2/3/19	4/10/19	1G6DM57N240391617	Holdlamis
41	3/11/19	12/30/2018	WBSBL93435P566681	Wrapsafe
51	5/4/19	7/18/2019	1FMJU1J57AE942990	Flowdesk
6	2/23/2019	12/11/18	WP1AA2A27DL945511	Konklab
65	1/6/19	7/6/19	1C3BC7EGXBN266389	Konklux
37	9/15/2018	12/5/18	WP0CA2A88CS484776	Domainer
44	10/24/2018	4/30/2019	3VW1K7AJ2CM917597	Bamity
25	10/8/18	6/29/2019	WAUHFAFL5EN636591	Tresom
66	7/16/2019	9/9/18	WA1WKBFP5BA800837	Transcof
24	7/10/19	5/2/19	3GYT4NEF2CG987352	Bigtax
90	1/3/19	10/22/2018	JM3TB2CA7E0136342	Alpha
89	4/1/19	8/29/2018	1FTEX1CM1DF790365	Span
8	6/14/2019	4/21/2019	WBA6B2C59FG362073	Zaam-Dox
17	3/19/2019	9/20/2018	WBAWC73589E246650	Fixflex
83	9/6/18	3/29/2019	3C4PDDBG0CT614820	Alphazap
90	6/14/2019	11/24/2018	SAJWA8JH8EM705608	Stronghold
6	2/17/2019	10/31/2018	KMHTC6AD3DU477900	Redhold
66	3/6/19	11/13/2018	NM0AS8F71E1740897	Bamity
29	4/19/2019	3/8/19	2T2BK1BAXAC791669	Lotlux
76	5/4/19	10/17/2018	3D7TP2CTXAG656297	Regrant
3	1/9/19	5/22/2019	WBALL5C54EP060190	Prodder
9	10/15/2018	1/21/2019	WA1AY94L77D706384	Solarbreeze
100	8/30/2018	11/7/18	WBA3B3C59FF699020	Fixflex
14	8/31/2018	7/9/19	5XYKT3A1XBG169576	Prodder
65	6/6/19	8/17/2019	WDDGF4HB7CF853822	Overhold
21	12/13/2018	5/9/19	WAULT58E24A421796	Overhold
45	3/16/2019	4/16/2019	1N4AB7AP9EN610837	Holdlamis
90	6/16/2019	9/16/2018	WA1CGAFE4BD606084	Toughjoyfax
64	7/24/2019	5/29/2019	1G6AJ1R36F0242484	Latlux
100	6/30/2019	11/18/2018	5N1BA0NE6FN891056	Bitchip
81	7/26/2019	10/15/2018	YV4902DZ3E2751629	Pannier
87	10/11/18	6/21/2019	5GAKRBED3CJ358344	Greenlam
81	10/8/18	7/28/2019	5TDDK3DC2ES437519	Fix San
29	3/30/2019	11/8/18	JM1CR2W35A0267314	Zathin
61	9/3/18	6/21/2019	KNAGM4ADXC5954013	Treeflex
32	6/1/19	3/16/2019	3C3CFFBR8CT506150	Stronghold
21	3/9/19	1/13/2019	KMHTC6AD8FU635781	Wrapsafe
18	11/29/2018	11/4/18	WAUWFAFH1BN074381	Home Ing
21	6/10/19	9/30/2018	1FTWX3B53AE054524	Opela
15	9/1/18	5/15/2019	1G6YV36A375002153	Tin
71	5/21/2019	3/16/2019	1G6DF5E58D0329829	Rank
66	8/24/2018	9/12/18	WBALW3C5XDC739124	Lotlux
42	2/14/2019	10/13/2018	WAUBF78E68A548023	Matsoft
21	1/30/2019	2/27/2019	JHMFA3F24AS756193	Alpha
3	6/3/19	7/2/19	WAUHGBFC1DN388552	Zamit
85	3/29/2019	4/20/2019	1G4HF57998U822220	Sub-Ex
15	1/17/2019	9/17/2018	WAUAFAFH7CN227664	Bitchip
71	8/27/2018	6/6/19	JTDKDTB36D1734020	Flowdesk
97	8/6/19	1/20/2019	5FNRL5H26EB818374	Rank
13	1/14/2019	10/20/2018	WAUAC48H35K243386	Gembucket
29	9/29/2018	8/17/2019	5GNRNGEE6A8906615	Cookley
57	1/20/2019	5/23/2019	1N4CL2AP5BC707453	Ronstring
18	8/18/2019	9/27/2018	WAUHFAFL9CN858306	Zoolab
77	10/21/2018	1/23/2019	WAUYGBFC5DN468291	Tin
35	4/24/2019	7/4/19	3GYFNGE3XES564031	Ventosanzap
38	8/18/2019	10/27/2018	JTMHY7AJ7A4702449	Daltfresh
56	6/11/19	4/29/2019	5N1AA0NE5EN785823	Keylex
26	1/21/2019	2/20/2019	SCFFDEDN0CG130195	Konklab
53	10/3/18	1/13/2019	19UUA65614A717488	Latlux
17	2/6/19	8/7/19	5XYKT3A13BG332326	Voltsillam
30	10/9/18	1/19/2019	1C3CCBAG7EN568580	Flowdesk
25	11/16/2018	1/22/2019	WBAGN83484D471354	Redhold
68	8/21/2018	6/22/2019	WAUNF78P38A427089	Namfix
95	11/4/18	10/4/18	WA1BY94L88D905479	Gembucket
78	3/9/19	11/29/2018	WAUKD78P16A768187	Veribet
8	2/6/19	5/26/2019	JN1AZ4EH7FM670763	Vagram
31	3/10/19	5/2/19	2G4WS55JX41407316	Prodder
7	11/30/2018	1/1/19	5UXFB93573L838740	Bigtax
31	8/18/2019	6/1/19	KMHHT6KD9DU352419	Asoka
2	1/24/2019	6/9/19	WUARL48HX6K397300	Y-Solowarm
53	12/6/18	4/8/19	4T1BD1FK5EU708915	It
41	3/25/2019	9/19/2018	WBAPK5C54BF541451	Veribet
81	1/18/2019	9/23/2018	JN8AF5MR1ET547605	Pannier
93	4/17/2019	1/5/19	WP1AE2A21DL300812	Bytecard
30	3/1/19	12/16/2018	WDDGF4HB2CR887536	Bigtax
89	5/10/19	11/12/18	WBASP4C59AC120315	Bitchip
82	12/19/2018	4/6/19	WAUJC68E63A602377	Opela
53	1/16/2019	6/16/2019	5UXZW0C58D0806959	Konklab
13	9/3/18	6/6/19	2HNYD18846H482929	Ronstring
83	10/24/2018	8/21/2018	5UXFG8C50BL600139	Alphazap
61	6/1/19	1/29/2019	WAUKFAFL0DN675416	Tampflex
25	5/16/2019	4/21/2019	3N1CN7AP6DL065448	Solarbreeze
15	10/8/18	9/6/18	1G6DM57T170382135	Aerified
69	12/26/2018	11/19/2018	1D7RV1GP8BS604720	Zaam-Dox
26	2/14/2019	9/23/2018	1G6DP1E30C0194400	Stim
31	12/17/2018	9/3/18	3VW4A7AT3CM764844	Viva
7	11/25/2018	10/2/18	1G4PR5SK1C4635592	Temp
9	6/27/2019	7/31/2019	WBAPL3C52AA032181	Kanlam
26	9/22/2018	12/24/2018	4JGBB9FB0AA955842	Vagram
98	9/25/2018	1/14/2019	WBAEH73405C189239	Namfix
44	1/14/2019	5/23/2019	WP0CA2A8XCS314144	Tresom
90	11/9/18	4/1/19	JH4CL95976C500212	Veribet
97	8/1/19	4/30/2019	1FTSW3A59AE166134	Stronghold
79	11/5/18	11/25/2018	5GAKVBKD6EJ369230	Y-Solowarm
6	9/27/2018	11/25/2018	SALFR2BG1DH142119	Flexidy
35	3/31/2019	3/24/2019	1G6DL1ED3B0588220	Overhold
57	5/15/2019	3/6/19	WAUJF98KX9N841804	Keylex
66	4/11/19	6/18/2019	TRUUT28N861324391	Rank
7	4/22/2019	3/13/2019	YV126MEC8F1130803	Konklab
92	12/11/18	11/16/2018	3D7TT2HT0AG865634	Redhold
4	1/23/2019	12/16/2018	2C3CCASG6FH748054	Home Ing
56	8/25/2018	7/30/2019	JN8CS1MU6EM128760	Zaam-Dox
7	11/7/18	10/30/2018	2C3CA6CT6AH238746	Bitwolf
35	5/5/19	11/20/2018	1GYS3GEF1DR686714	Span
37	9/26/2018	4/27/2019	WAUXF78K19A299899	Keylex
87	1/25/2019	3/14/2019	5N1AR2MM0EC260743	Alpha
60	3/6/19	10/6/18	1G4HR57Y16U773848	Namfix
1	1/7/19	12/27/2018	WBACN33471L194487	Home Ing
1	10/8/18	8/8/19	2G4WC562251320189	Trippledex
44	10/25/2018	6/13/2019	YV1672MK3C2581137	Trippledex
13	10/11/18	7/1/19	WAUHF98P36A444965	Vagram
12	1/21/2019	11/11/18	1G6AF5S38E0388533	Alphazap
16	11/3/18	8/9/19	TRUUT28N731449216	Mat Lam Tam
17	12/22/2018	4/30/2019	1G6KD57Y86U140338	Prodder
51	12/30/2018	4/25/2019	1G6DJ8ED4B0763606	Matsoft
9	12/31/2018	3/27/2019	WBA4A5C51FG822533	Zaam-Dox
22	9/4/18	11/6/18	1C4RDHEG3CC425926	Holdlamis
32	1/31/2019	12/20/2018	JN8AS5MT4DW963961	Holdlamis
94	2/15/2019	10/14/2018	WBABD53405P632596	Greenlam
11	9/15/2018	2/13/2019	WAUFGBFB2BN445899	Gembucket
4	2/19/2019	8/10/19	WBAVL1C52FV804156	Flowdesk
81	10/19/2018	9/21/2018	WAUKF98E67A525870	Flexidy
38	9/4/18	2/24/2019	WA1C8AFPXDA288958	Hatity
70	5/29/2019	7/21/2019	1FTEX1CM4BK346370	Cardguard
1	9/13/2018	12/12/18	WA1AY94L39D315252	Toughjoyfax
46	11/1/18	12/25/2018	3N1AB6APXAL933229	Konklux
57	8/21/2018	7/7/19	1D7RW3BK0BS716237	Alphazap
22	5/8/19	7/1/19	WBA1J7C59FV441295	Temp
90	2/6/19	5/8/19	WA1VMAFP9FA305272	Fixflex
94	1/24/2019	7/25/2019	1NXBU4EE3AZ868265	Ventosanzap
66	9/25/2018	2/15/2019	1GYS4AEF8DR544449	Bamity
74	12/24/2018	11/7/18	JH4DC53094S497110	Andalax
12	6/17/2019	11/24/2018	3GYT4MEF3DG396300	Cookley
76	11/11/18	4/7/19	WAUHF68P76A550866	Subin
78	2/20/2019	1/17/2019	JH4KC1F97EC330587	Zaam-Dox
66	12/1/18	3/3/19	TRURD38J581822198	Andalax
42	3/16/2019	10/4/18	YV1902AHXD1316040	Gembucket
92	2/20/2019	9/7/18	YV140MEB5F1728428	Tin
27	5/10/19	3/5/19	WBA4A5C59FG209690	Viva
80	9/30/2018	11/1/18	1FTEX1C81AK011133	Toughjoyfax
88	11/16/2018	11/18/2018	WDDGF4HBXEA958578	Cookley
13	7/6/19	12/8/18	WAUEFAFL6CA843322	Daltfresh
64	3/24/2019	9/21/2018	WAUKF78E26A422769	Quo Lux
21	4/24/2019	5/24/2019	WA1YD64B95N277935	Mat Lam Tam
62	12/24/2018	8/31/2018	4JGBF2FE0BA769239	Cookley
6	10/29/2018	10/15/2018	WAUVVAFR9AA826356	Treeflex
82	1/12/19	2/26/2019	1N6AA0CA4FN480543	Toughjoyfax
9	9/24/2018	6/23/2019	WAUDH98E97A632401	Wrapsafe
91	5/29/2019	7/24/2019	WDDHF0EB0EA592809	Trippledex
28	9/11/18	6/21/2019	WAU2MAFCXFN750213	Rank
10	12/22/2018	10/31/2018	3VW4S7AT9EM822813	Redhold
82	11/20/2018	3/15/2019	JTHBL5EF2F5302555	Alpha
95	11/5/18	7/27/2019	JH4KA965X3C898427	Sonsing
61	5/23/2019	5/16/2019	1FBSS3BL4AD177139	Job
98	6/27/2019	4/20/2019	5N1BA0NE1FN050004	Keylex
1	12/25/2018	9/30/2018	1C3CDWDA9CD952410	Flowdesk
52	12/9/18	2/23/2019	1N6AD0CU6DN773987	Bamity
73	2/12/19	6/30/2019	5UXFH0C52AL423090	Treeflex
63	11/26/2018	1/5/19	WBAKB4C53BC123923	Holdlamis
72	12/2/18	5/6/19	JH4KB16658C116873	It
17	6/17/2019	6/14/2019	1C3CDZBG3EN521471	Job
54	1/20/2019	4/19/2019	1GYS4HKJ3FR158848	Fixflex
42	4/1/19	8/11/19	1G6DM5ED8B0682582	Transcof
62	8/16/2019	10/21/2018	2D4RN3DG4BR842160	Bamity
37	12/26/2018	3/11/19	WBAWL73519P490497	Ventosanzap
73	2/16/2019	9/24/2018	WAUJC68E52A587014	Flowdesk
22	2/26/2019	9/21/2018	WBA3G7C53FK693942	Hatity
10	1/27/2019	1/30/2019	1FTEX1CM5BF121335	Zaam-Dox
22	2/26/2019	9/14/2018	WAUAC48H64K697579	Stim
47	1/20/2019	9/6/18	1G4GB5EG2AF580874	Biodex
70	1/12/19	3/3/19	JH4NA21694T448841	Regrant
67	7/31/2019	10/11/18	1FMJK1JT1FE267083	Span
96	10/8/18	1/27/2019	2T1KU4EE1BC785890	Voyatouch
94	5/22/2019	7/22/2019	WBAFA53531L233945	Lotlux
94	1/2/19	7/9/19	WAUAH74F29N708090	Treeflex
47	6/16/2019	5/23/2019	WBADS33473G280486	Redhold
91	5/15/2019	8/23/2018	SALAF2D47AA223426	Mat Lam Tam
66	12/15/2018	11/10/18	1FTEX1CM4BK025462	Stim
9	2/18/2019	12/7/18	JTHBE1KS0A0292070	Asoka
69	10/2/18	6/7/19	2G4WE537651956561	Cookley
96	7/13/2019	10/6/18	5TDBCRFH3FS905162	Konklab
88	12/25/2018	11/13/2018	5XYZT3LB4EG807457	Cardify
55	9/11/18	11/26/2018	1FTMF1CW1AF351601	Subin
4	10/25/2018	9/29/2018	1G6YV36A795160188	Opela
88	6/23/2019	5/28/2019	5BZAF0AAXFN885930	Zaam-Dox
5	11/28/2018	9/3/18	KNDJT2A54C7176854	Stronghold
